"Rank","Host/device","Operation Type","Operation Name","#Occurrences","Total time (us)","Avg. time (us)","Total self-time (us)","Avg. self-time (us)","Total self-time on Device (%)","Cumulative total-self time on Device (%)","Total self-time on Host (%)","Cumulative total-self time on Host (%)","Normalized FLOP Rate (FLOPs/s)","Model FLOP Rate (GFLOP/s)","Measured Memory BW (GBytes/Sec)","Operational Intensity (FLOPs/Byte)","GPU TensorCore utilization","Bound by","Execution mode"
"60.0","Device","Unknown","copy.161","4851.0","3867.025","0.7971603793032365","3867.025","0.7971603793032365","0.0005024129909095666","0.9940799814044526","0.0","0.0","0.0","0.0","0.14954241661505674","0.0","0.0","HBM","Function"
"61.0","Device","Unknown","copy.160","4851.0","3859.02","0.7955102040816326","3859.02","0.7955102040816326","0.0005013729624659359","0.9945813543669185","0.0","0.0","0.0","0.0","0.01873157769365149","0.0","0.0","HBM","Function"
"62.0","Device","scatter","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/scatter","587.0","3744.908","6.379741056218058","3744.908","6.379741056218058","0.00048654726280827334","0.9950679016297268","0.0","0.0","0.0","0.0","2.391756801418753","0.0","0.0","HBM","Function"
"63.0","Device","and","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/cond/and","2999.0","2689.602","0.8968329443147716","2689.602","0.8968329443147716","0.00034943942311631087","0.9954173410528431","0.0","0.0","0.010463629934837942","0.010463629934837942","0.027069485474269066","0.36","0.0","HBM","Function"
"64.0","Device","while","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while","2999.0","2428.767","0.8098589529843281","2428.767","0.8098589529843281","0.0003155511259152592","0.9957328921787584","0.0","0.0","1340.1890226604694","1340.1890226604694","8.96779539645517","139.18117395373713","0.0","HBM","Function"
"65.0","Device","Unknown","call.623","1902.0","2048.465","1.0770057833859097","2048.465","1.0770057833859097","0.00026614139485096823","0.9959990335736093","0.0","0.0","16834.91424066313","16834.91424066313","340.2015758060096","46.086605086701674","0.0","HBM","Function"
"66.0","Device","Unknown","call.601","672.0","1794.924","2.671017857142857","1794.924","2.671017857142857","0.00023320075129986564","0.9962322343249091","0.0","0.0","0.0","0.0","16518.77236448998","0.0","0.0","HBM","Function"
"67.0","Device","Unknown","call.625","1902.0","1758.823","0.9247229232386962","1758.823","0.9247229232386962","0.00022851042439873978","0.9964607447493079","0.0","0.0","308.92388716772524","308.92388716772524","6.399347837491913","44.95892351274787","0.0","HBM","Function"
"68.0","Device","Unknown","call.602","518.0","1428.638","2.757988416988417","1428.638","2.757988416988417","0.00018561201194899473","0.9966463567612569","0.0","0.0","0.0","0.0","15997.868479741328","0.0","0.0","HBM","Function"
"69.0","Device","Unknown","loop_select_fusion.33","587.0","1054.517","1.796451448040886","1054.517","1.796451448040886","0.00013700533095467018","0.9967833620922115","0.0","0.0","0.02671934165120145","0.02671934165120145","0.2032219961454581","0.12244897959183673","0.0","HBM","Function"
"70.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_source_function)/jit(compute_source_term_isw)/vmap(while)/body/add","320.0","1038.331","3.2447843749999996","1038.331","3.2447843749999996","0.00013490240773310778","0.9969182644999446","0.0","0.0","0.003689574904341679","0.003689574904341679","0.018326316795456803","0.1875","0.0","HBM","Function"
"71.0","Device","scatter","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/scatter","1024.0","977.206","0.954302734375","977.206","0.954302734375","0.00012696090384592133","0.9970452254037905","0.0","0.0","0.04401119108969859","0.04401119108969859","0.14931567183393904","0.27450980392156865","0.0","HBM","Function"
"72.0","Device","select_n","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_source_function)/jit(compute_source_term_isw)/vmap(while)/body/jit(_where)/select_n","320.0","916.768","2.8649","916.768","2.8649","0.00011910865661592091","0.9971643340604064","0.0","0.0","0.33997696254668575","0.33997696254668575","1.0220524886003226","0.3097964376590331","0.0","HBM","Function"
"73.0","Device","min","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/min","877.0","897.924","1.0238586088939567","897.924","1.0238586088939567","0.00011666039977747277","0.9972809944601838","0.0","0.0","0.4040431038707062","0.4040431038707062","0.05268122492534934","7.142857142857143","0.0","HBM","Function"
"74.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/vmap(while)/body/add","320.0","828.009","2.587528125","828.009","2.587528125","0.00010757687839877925","0.9973885713385826","0.0","0.0","0.0036883657061698603","0.0036883657061698603","0.01832031064316561","0.1875","0.0","HBM","Function"
"75.0","Device","cond","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond","1024.0","773.087","0.7549677734375","773.087","0.7549677734375","0.00010044128287334685","0.997489012621456","0.0","0.0","1703.3323080067314","1703.3323080067314","10.987608297941199","144.37644549230941","0.0","HBM","Function"
"76.0","Device","dynamic_update_slice","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_source_function)/jit(compute_source_term_isw)/vmap(while)/body/dynamic_update_slice","320.0","763.23","2.3850937500000002","763.23","2.3850937500000002","9.916063823014036e-05","0.9975881732596861","0.0","0.0","0.0","0.0","0.8215621281096254","0.0","0.0","HBM","Function"
"77.0","Device","convert_element_type","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/while/body/cond/branch_0_fun/convert_element_type","919.0","762.465","0.8296681175190425","762.465","0.8296681175190425","9.906124762934367e-05","0.9976872345073154","0.0","0.0","0.0036159036808246937","0.0036159036808246937","0.005612621209312065","0.6","0.0","HBM","Function"
